Frequency [MHz],|S0-2| [-],|S1-2| [-],|S2-2| [-],|S3-2| [-],Arg(S0-2) [rad],Arg(S1-2) [rad],Arg(S2-2) [rad],Arg(S3-2) [rad],Delay 2>0 [s],Delay 2>1 [s],Delay 2>2 [s],Delay 2>3 [s],|Z2| [Ohm],Arg(Z2) [rad]
2.449600e+03, 8.110338e-02, 5.453001e-02, 8.354377e-02, 8.598118e-01, 6.210834e-01, -1.837528e+00, -2.700863e+00, -7.904428e-01, 6.327192e-10, 5.763085e-10, 1.097588e-09, 4.642708e-10, 4.298312e+01, -7.165749e-02
2.453400e+03, 8.152783e-02, 5.471779e-02, 8.237769e-02, 8.598540e-01, 6.059765e-01, -1.851288e+00, -2.727070e+00, -8.015277e-01, 6.322484e-10, 5.771584e-10, 1.116521e-09, 4.643106e-10, 4.299578e+01, -6.671004e-02
2.457200e+03, 8.194398e-02, 5.490329e-02, 8.122068e-02, 8.598944e-01, 5.908809e-01, -1.865068e+00, -2.753728e+00, -8.126137e-01, 6.318220e-10, 5.779610e-10, 1.136175e-09, 4.644077e-10, 4.301320e+01, -6.176671e-02
2.461000e+03, 8.235174e-02, 5.508656e-02, 8.007381e-02, 8.599345e-01, 5.757954e-01, -1.878867e+00, -2.780855e+00, -8.237019e-01, 6.315136e-10, 5.789086e-10, 1.156419e-09, 4.644316e-10, 4.303538e+01, -5.682992e-02
2.464800e+03, 8.275105e-02, 5.526754e-02, 7.893806e-02, 8.599714e-01, 5.607174e-01, -1.892689e+00, -2.808466e+00, -8.347907e-01, 6.311697e-10, 5.796697e-10, 1.177340e-09, 4.645458e-10, 4.306235e+01, -5.190245e-02
2.468600e+03, 8.314192e-02, 5.544622e-02, 7.781456e-02, 8.600073e-01, 5.456475e-01, -1.906530e+00, -2.836576e+00, -8.458823e-01, 6.308542e-10, 5.803463e-10, 1.198988e-09, 4.645494e-10, 4.309409e+01, -4.698691e-02
2.472400e+03, 8.352414e-02, 5.562252e-02, 7.670446e-02, 8.600414e-01, 5.305851e-01, -1.920386e+00, -2.865203e+00, -8.569739e-01, 6.306053e-10, 5.811559e-10, 1.221252e-09, 4.646131e-10, 4.313061e+01, -4.208570e-02
2.476200e+03, 8.389782e-02, 5.579646e-02, 7.560898e-02, 8.600737e-01, 5.155288e-01, -1.934262e+00, -2.894362e+00, -8.680671e-01, 6.304368e-10, 5.817928e-10, 1.244187e-09, 4.646682e-10, 4.317192e+01, -3.720160e-02
2.480000e+03, 8.426267e-02, 5.596800e-02, 7.452940e-02, 8.601042e-01, 5.004764e-01, -1.948153e+00, -2.924068e+00, -8.791615e-01, 6.302286e-10, 5.824986e-10, 1.267762e-09, 4.647528e-10, 4.321800e+01, -3.233721e-02
2.483800e+03, 8.461880e-02, 5.613711e-02, 7.346698e-02, 8.601321e-01, 4.854290e-01, -1.962060e+00, -2.954338e+00, -8.902580e-01, 6.300907e-10, 5.830416e-10, 1.292017e-09, 4.647540e-10, 4.326887e+01, -2.749511e-02
2.487600e+03, 8.496603e-02, 5.630374e-02, 7.242294e-02, 8.601586e-01, 4.703849e-01, -1.975981e+00, -2.985186e+00, -9.013545e-01, 6.300280e-10, 5.836993e-10, 1.316805e-09, 4.648146e-10, 4.332452e+01, -2.267768e-02
2.491400e+03, 8.530442e-02, 5.646798e-02, 7.139888e-02, 8.601838e-01, 4.553422e-01, -1.989918e+00, -3.016626e+00, -9.124525e-01, 6.299540e-10, 5.841953e-10, 1.342213e-09, 4.648759e-10, 4.338494e+01, -1.788781e-02
2.495200e+03, 8.563388e-02, 5.662954e-02, 7.039608e-02, 8.602060e-01, 4.403014e-01, -2.003866e+00, -3.048673e+00, -9.235519e-01, 6.298738e-10, 5.846844e-10, 1.368156e-09, 4.648815e-10, 4.345014e+01, -1.312785e-02
2.499000e+03, 8.595431e-02, 5.678863e-02, 6.941617e-02, 8.602273e-01, 4.252625e-01, -2.017826e+00, -3.081339e+00, -9.346515e-01, 6.299207e-10, 5.851592e-10, 1.394573e-09, 4.649571e-10, 4.352009e+01, -8.400341e-03
2.502800e+03, 8.626568e-02, 5.694525e-02, 6.846057e-02, 8.602461e-01, 4.102224e-01, -2.031797e+00, -3.114636e+00, -9.457528e-01, 6.299244e-10, 5.856241e-10, 1.421411e-09, 4.649862e-10, 4.359480e+01, -3.707821e-03
2.506600e+03, 8.656790e-02, 5.709916e-02, 6.753095e-02, 8.602630e-01, 3.951823e-01, -2.045780e+00, 3.134611e+00, -9.568549e-01, 6.300159e-10, 5.860525e-10, 1.448602e-09, 4.650356e-10, 4.367425e+01, 9.472215e-04
2.510400e+03, 8.686097e-02, 5.725043e-02, 6.662886e-02, 8.602785e-01, 3.801400e-01, -2.059772e+00, 3.100024e+00, -9.679581e-01, 6.300893e-10, 5.863448e-10, 1.476044e-09, 4.650498e-10, 4.375843e+01, 5.562336e-03
2.514200e+03, 8.714486e-02, 5.739917e-02, 6.575608e-02, 8.602916e-01, 3.650959e-01, -2.073772e+00, 3.064782e+00, -9.790617e-01, 6.302379e-10, 5.867705e-10, 1.503669e-09, 4.650845e-10, 4.384732e+01, 1.013506e-02
2.518000e+03, 8.741945e-02, 5.754521e-02, 6.491410e-02, 8.603029e-01, 3.500482e-01, -2.087782e+00, 3.028880e+00, -9.901661e-01, 6.304370e-10, 5.870387e-10, 1.531339e-09, 4.651533e-10, 4.394093e+01, 1.466300e-02
2.521800e+03, 8.768475e-02, 5.768849e-02, 6.410480e-02, 8.603116e-01, 3.349959e-01, -2.101798e+00, 2.992318e+00, -1.001272e+00, 6.305828e-10, 5.873030e-10, 1.558916e-09, 4.651597e-10, 4.403922e+01, 1.914378e-02
2.525600e+03, 8.794071e-02, 5.782920e-02, 6.332994e-02, 8.603193e-01, 3.199400e-01, -2.115821e+00, 2.955097e+00, -1.012378e+00, 6.308748e-10, 5.874893e-10, 1.586343e-09, 4.651744e-10, 4.414217e+01, 2.357500e-02
2.529400e+03, 8.818726e-02, 5.796708e-02, 6.259109e-02, 8.603244e-01, 3.048772e-01, -2.129847e+00, 2.917222e+00, -1.023485e+00, 6.310891e-10, 5.877740e-10, 1.613384e-09, 4.652089e-10, 4.424979e+01, 2.795446e-02
2.533200e+03, 8.842444e-02, 5.810227e-02, 6.189020e-02, 8.603274e-01, 2.898092e-01, -2.143881e+00, 2.878700e+00, -1.034592e+00, 6.313964e-10, 5.879130e-10, 1.639842e-09, 4.652199e-10, 4.436203e+01, 3.227987e-02
2.537000e+03, 8.865208e-02, 5.823467e-02, 6.122893e-02, 8.603293e-01, 2.747339e-01, -2.157918e+00, 2.839547e+00, -1.045700e+00, 6.316903e-10, 5.880313e-10, 1.665673e-09, 4.652420e-10, 4.447888e+01, 3.654880e-02
2.540800e+03, 8.887028e-02, 5.836428e-02, 6.060897e-02, 8.603285e-01, 2.596516e-01, -2.171958e+00, 2.799777e+00, -1.056808e+00, 6.320963e-10, 5.881886e-10, 1.690544e-09, 4.652834e-10, 4.460031e+01, 4.075922e-02
